download_mbps,upload_mbps,latency_ms,download_mbps_median,upload_mbps_median,latency_ms_median,tile_count,total_tests,total_devices,country_code,country_name,year,quarter,network_type,date
52.62,22.33,41.8,NA,NA,NA,4857535,68716230,20615874,GE,Georgia,2019,2,fixed,2019-06-01
25.94,9.54,50.6,NA,NA,NA,3340189,21234141,10495087,GE,Georgia,2019,2,mobile,2019-06-01
54.99,24.13,37.9,NA,NA,NA,5545233,91960635,28790254,GE,Georgia,2019,3,fixed,2019-09-01
28.45,10.03,48.7,NA,NA,NA,4012185,28273464,14067596,GE,Georgia,2019,3,mobile,2019-09-01
58.42,26.15,34,NA,NA,NA,6497478,143024494,42096061,GE,Georgia,2019,4,fixed,2019-12-01
31.61,10.92,45,NA,NA,NA,3799244,27754262,13680994,GE,Georgia,2019,4,mobile,2019-12-01
67.76,30.09,34.8,NA,NA,NA,4466078,71553695,19703027,GE,Georgia,2020,1,fixed,2020-03-01
32.12,10.59,43.2,NA,NA,NA,3911903,27127266,13029194,GE,Georgia,2020,1,mobile,2020-03-01
69.38,31.44,36.6,NA,NA,NA,4678047,93967573,20692617,GE,Georgia,2020,2,fixed,2020-06-01
35.65,10.76,42.6,NA,NA,NA,4095011,30138571,12381029,GE,Georgia,2020,2,mobile,2020-06-01
74.04,33.38,32.1,NA,NA,NA,4510196,72771852,18835056,GE,Georgia,2020,3,fixed,2020-09-01
38.84,11.17,42.7,NA,NA,NA,4360390,31314744,14107022,GE,Georgia,2020,3,mobile,2020-09-01
86.58,39.32,27.3,NA,NA,NA,3768743,48005034,13727584,GE,Georgia,2020,4,fixed,2020-12-01
42.78,12.05,40.5,NA,NA,NA,4218826,31346458,13904863,GE,Georgia,2020,4,mobile,2020-12-01
92.01,41.56,26.8,NA,NA,NA,4196691,66190055,16674664,GE,Georgia,2021,1,fixed,2021-03-01
44.6,12.2,40.1,NA,NA,NA,4193475,29992738,13296053,GE,Georgia,2021,1,mobile,2021-03-01
104.6,44.46,26.9,NA,NA,NA,4335355,61834010,17028485,GE,Georgia,2021,2,fixed,2021-06-01
50.94,12.61,40.5,NA,NA,NA,4277111,29312153,12873497,GE,Georgia,2021,2,mobile,2021-06-01
92.01,41.34,27.9,NA,NA,NA,6929484,148886145,41129462,GE,Georgia,2021,3,fixed,2021-09-01
