country_name,network_type,quarters,avg_download,avg_upload,avg_latency,median_download,median_upload,median_latency,total_tiles
Armenia,fixed,26,70.8,44.3,18,26.8,25.3,7,63209348
Armenia,mobile,26,54,13.4,33,22.2,9.4,20,46108715
Azerbaijan,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Azerbaijan,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Belarus,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Belarus,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Georgia,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Georgia,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Kazakhstan,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Kazakhstan,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Kyrgyzstan,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Kyrgyzstan,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Moldova,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Moldova,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Russia,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Russia,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Tajikistan,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Tajikistan,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Ukraine,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Ukraine,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
Uzbekistan,fixed,26,119.2,57.8,28,NA,NA,NA,153111254
Uzbekistan,mobile,26,71.7,14.2,41,NA,NA,NA,100857983
