country_code,country_name,year,quarter,network_type,date,download_mbps_weighted_mean,upload_mbps_weighted_mean,latency_ms_weighted_mean,download_mbps_weighted_median,upload_mbps_weighted_median,latency_ms_weighted_median,download_mbps_mean,upload_mbps_mean,latency_ms_mean,download_mbps_median,upload_mbps_median,latency_ms_median,tile_count,total_tests,total_devices
AM,Armenia,2019,1,fixed,2019-01-01,21.453937061982344,18.85986015290798,14.95153363065441,23.388,20.558,10,14.354413475882646,12.223391347588265,25.13799104922924,11.333,9.273,16,4022,70096,21974
AM,Armenia,2019,1,mobile,2019-01-01,27.090188877838553,10.97031800099453,23.96908668987237,27.613,11.136,20,21.73841381418093,8.930719437652812,27.533312958435207,16.060499999999998,7.23,22,3272,25010,12066
AM,Armenia,2019,2,fixed,2019-04-01,22.006497830802605,20.108251193058567,14.218275488069414,23.37,20.857,9,15.735309229864786,13.927227219282775,23.119929453262788,13.509,10.8935,12,3402,56162,18440
AM,Armenia,2019,2,mobile,2019-04-01,28.751453877649325,12.955510356454722,24.403179190751445,28.152,13.239,19,23.15971526717557,10.011312213740458,29.617557251908398,15.86,7.3565000000000005,21,2620,13941,8304
AM,Armenia,2019,3,fixed,2019-07-01,22.056540156210204,20.210863061380422,12.905297563460396,23.407,20.723,8,15.842576441102757,13.928366666666667,21.120551378446116,13.798,11.4275,12,3990,62904,23558
AM,Armenia,2019,3,mobile,2019-07-01,31.347910775774764,13.946886570791978,23.120721085679563,31.412,14.783,19,25.152570434782607,10.791526260869565,26.185391304347824,19.188,8.47,21,2875,16224,9874
AM,Armenia,2019,4,fixed,2019-10-01,23.021181954636425,22.186741605514786,11.144790971758951,24.9,23.527,8,16.14496356525319,15.074460889254837,18.037258130918072,14.6555,12.998999999999999,11,4858,111103,35976
AM,Armenia,2019,4,mobile,2019-10-01,30.698776000825426,14.015300763516304,22.405282707387535,30.856,14.363,19,25.791122996645544,11.221550875885203,26.518822213939618,21.301,9.78,20,2683,16228,9692
AM,Armenia,2020,1,fixed,2020-01-01,24.54802972422524,23.086591897396378,11.225023394066165,26.718,25.073,7,16.883751071647275,15.707417636252297,19.38426209430496,15.0225,13.672,9,3266,63445,18167
AM,Armenia,2020,1,mobile,2020-01-01,28.73696505177515,12.777616216715975,22.35678624260355,28.305,12.794,19,23.767651741293534,10.212794361525704,25.64577114427861,18.904,8.261,21,3015,19225,10816
AM,Armenia,2020,2,fixed,2020-04-01,25.11462125525281,23.56276528399078,11.091093940626271,27.39,25.608,7,18.21087812700449,16.84850416933932,18.02405388069275,16.3515,14.606,9,3118,51636,14754
AM,Armenia,2020,2,mobile,2020-04-01,32.27870840054597,13.547107085246308,22.17272614468296,31.042,13.647,19,26.076165491651206,11.097049350649351,24.45640074211503,19.598,8.734,21,2695,15363,8059
AM,Armenia,2020,3,fixed,2020-07-01,26.317077109375,25.13968875,10.094921875,28.215,26.94,6,19.89397949419002,18.865345181134654,15.008544087491456,18.386499999999998,16.920499999999997,7,2926,38823,12800
AM,Armenia,2020,3,mobile,2020-07-01,31.167390051813474,12.850854818652849,21.58580310880829,30.816,13.082,18,24.336073846153845,9.964003760683761,24.99282051282051,18.272,7.452,20,2925,17876,9650
AM,Armenia,2020,4,fixed,2020-10-01,28.481894947696414,26.655877921210774,8.772535054529268,29.697,28.319,6,22.465803292894282,20.757733102253034,11.917244367417677,20.7965,19.121000000000002,6,2308,27390,8986
AM,Armenia,2020,4,mobile,2020-10-01,29.457912318953436,12.381289363027566,20.950319264912007,28.42,12.316,18,24.928433763749403,10.380019129603062,22.548541367766617,19.105,8.257,19,2091,11868,6421
AM,Armenia,2021,1,fixed,2021-01-01,30.716182547321143,28.925043230670518,8.898780879050369,33.166,30.904,6,23.272978645066274,22.00094550810015,12.635861561119293,21.4515,19.708,6,2716,40634,12468
AM,Armenia,2021,1,mobile,2021-01-01,28.641639940424476,11.762662157130446,20.106491249844854,27.555,12.008,18,24.733314039408867,9.941277093596058,21.50328407224959,19.179499999999997,7.7015,18,2436,15002,8057
AM,Armenia,2021,2,fixed,2021-04-01,32.99356116811365,28.593844810576165,8.086227308603,35.572,29.498,6,25.81349831649832,22.676417508417508,10.809343434343434,23.927,20.4015,6,2376,29888,10136
AM,Armenia,2021,2,mobile,2021-04-01,26.988398001175778,10.458265579071135,21.221634332745445,25.992,10.379,18,23.02353785900783,8.431906875543952,23.3355091383812,16.219,5.5280000000000005,19,2298,11788,6804
AM,Armenia,2021,3,fixed,2021-07-01,31.123484484765765,27.732337762434263,9.567701015615592,32.15,27.157,7,23.257515906562848,20.6925319243604,13.749054505005562,21.541,19.103,7,4495,71210,24911
AM,Armenia,2021,3,mobile,2021-07-01,30.971505108397707,11.540736107650137,23.377647645153253,29.694,11.696,20,27.452146156758804,9.595655812192351,24.230215827338128,20.131,6.632,20,2641,14061,8026
AM,Armenia,2021,4,fixed,2021-10-01,45.976040811174684,38.49145506563447,8.144564119824976,45.981,37.628,6,32.92588107267781,28.25894520015546,11.825106879129422,27.806,23.513,6,2573,36359,11884
AM,Armenia,2021,4,mobile,2021-10-01,33.00766310737852,12.894131973605278,21.27126574685063,30.903,12.926,19,30.68575020441537,11.14775102207686,22.507767784137368,24.353,8.5505,19,2446,14408,8335
AM,Armenia,2022,1,fixed,2022-01-01,54.53769491997993,46.81089759103329,7.669798695143032,58.029,49.767,6,30.32790270376949,27.50695026642984,11.708703374777976,25.101,23.581,6,5067,125840,35866
AM,Armenia,2022,1,mobile,2022-01-01,32.09141683580814,12.919680269202008,21.37998077128512,31.248,12.98,19,29.136960975609757,10.998467073170731,22.53211382113821,23.363,8.91,19,2460,17498,9361
AM,Armenia,2022,2,fixed,2022-04-01,59.66169921026654,51.1836058242843,7.672194800921356,61.314,53.074,5,32.97560145547945,30.120936429794522,11.539383561643836,26.233,25.0845,6,4672,95038,30390
AM,Armenia,2022,2,mobile,2022-04-01,31.085063750423874,14.260659771674014,27.04272634791455,29.198,14.758,23,28.20705865695793,11.991463996763754,28.282362459546924,21.7075,9.827,21,2472,15952,8847
AM,Armenia,2022,3,fixed,2022-07-01,56.1404795200662,52.06711981106054,7.376637705144118,56.163,51.861,5,31.54859345991561,30.32266687763713,10.544092827004219,25.488,24.836,6,4740,80902,29004
AM,Armenia,2022,3,mobile,2022-07-01,32.489167939871855,13.534964144898964,29.57626909807787,29.66,13.426,24,30.917512469831053,11.772712791633145,29.46379726468222,24.118499999999997,8.9895,21,2486,14153,8116
