country_code,country_name,year,quarter,network_type,date,download_mbps_weighted_mean,upload_mbps_weighted_mean,latency_ms_weighted_mean,download_mbps_weighted_median,upload_mbps_weighted_median,latency_ms_weighted_median,download_mbps_mean,upload_mbps_mean,latency_ms_mean,download_mbps_median,upload_mbps_median,latency_ms_median,tile_count,total_tests,total_devices
BY,Belarus,2019,1,fixed,2019-01-01,33.0203660361135,28.513863499570075,19.705202063628548,33.997,29.198,7,24.998403956604978,20.911237651563496,33.14396936821953,19.202,15.521,16,7835,66792,23260
BY,Belarus,2019,1,mobile,2019-01-01,11.13736706629055,9.249166985694137,33.88572939754181,9.346,8.589,29,10.624228693538926,7.682454118830135,38.582167099639655,7.657,4.531,31,11933,75496,39704
BY,Belarus,2019,2,fixed,2019-04-01,32.4625644877585,27.410647967672926,21.65010696458284,32.713,27.756,8,24.583264532744664,20.040625950453766,35.12398822663723,17.012500000000003,12.7655,19,8154,54593,21035
BY,Belarus,2019,2,mobile,2019-04-01,12.9750021284342,9.609435404822584,33.5580978519618,11.145,8.784,29,11.614210408115852,7.391931541857043,38.39479594207388,8.182,4.154,31,12913,64956,35707
BY,Belarus,2019,3,fixed,2019-07-01,33.28225605111193,29.161492689519598,16.328326575746406,34.31,31.556,6,24.437636503067484,19.979365126533743,29.76945935582822,18.9795,13.682500000000001,17,10432,79328,32556
BY,Belarus,2019,3,mobile,2019-07-01,14.639622509781859,10.01363169066312,35.13541160524768,12.618,9.254,30,12.127488873483536,7.372777816291161,39.725892547660315,8.413,3.963,32,14425,69382,39103
BY,Belarus,2019,4,fixed,2019-10-01,34.63132051986088,31.677762135356865,11.584161216780657,35.451,33.995,6,24.561135215566576,20.325900724914156,23.576192293017932,20.32,15.913,15,13105,171120,60093
BY,Belarus,2019,4,mobile,2019-10-01,15.492771863916373,10.659866273100615,31.631393503826768,13.642,10.099,27,13.846826258270761,8.419819790350159,35.368894505984684,10.086,4.613,29,13451,81533,42856
BY,Belarus,2020,1,fixed,2020-01-01,38.37653084314941,34.31527082041744,13.479024591857822,37.052,34.845,6,30.626389084776942,26.331381112984822,21.965046757626858,25.912,22.472,11,6523,54711,19356
BY,Belarus,2020,1,mobile,2020-01-01,15.897952653559196,10.633331026230586,32.71305898362348,13.534,10.001,27,14.012406983525295,8.176927175973175,35.82993147689167,10.252500000000001,4.437,29,13718,83871,42622
BY,Belarus,2020,2,fixed,2020-04-01,42.77121862495453,37.55948744998181,13.889934001974744,41.958,38.986,6,31.661200426439233,26.974331485429992,23.049893390191897,24.646,20.91,12,7035,61073,19243
BY,Belarus,2020,2,mobile,2020-04-01,15.704021207591152,9.646908404489826,33.39009805660425,12.627,8.49,28,12.488025622343654,6.997883120825744,38.127929568913174,7.9635,3.47,31,16470,82981,39467
BY,Belarus,2020,3,fixed,2020-07-01,45.30226816420441,39.2459770525551,13.246124969726326,44.787,40.993,7,34.68716664182441,28.930819198092117,20.292592040542555,28.078,23.801,12,6709,42356,16516
BY,Belarus,2020,3,mobile,2020-07-01,15.558671478608957,9.59483402551914,34.47758318739054,12.799,8.486,29,12.68658871557397,6.892194369973191,39.21990007311723,8.241,3.475,32,16412,77172,39970
BY,Belarus,2020,4,fixed,2020-10-01,50.76375483403158,44.66095649371576,11.703915565581696,46.767,44.584,6,40.7686670606777,35.254078802206465,17.859535066981877,32.89,30.738500000000002,9,5076,36476,12412
BY,Belarus,2020,4,mobile,2020-10-01,16.248431818181817,10.513809002361274,33.88279220779221,13.006,9.221,29,15.004154418604651,8.261819069767443,36.77224806201551,10.073,4.221,30,12900,69514,33880
BY,Belarus,2021,1,fixed,2021-01-01,53.91195445312981,47.114558687757736,10.750353911491352,51.169,47.879,6,42.22037610841559,36.211052534716416,16.37761418771959,35.317,31.727,9,5977,49352,16247
BY,Belarus,2021,1,mobile,2021-01-01,17.267357006641678,10.151799007036233,31.058032485039785,13.492,8.833,27,15.984744134717568,8.217430147960435,34.17011362707431,10.671,4.239,28,12233,62742,30414
BY,Belarus,2021,2,fixed,2021-04-01,58.02635635264207,47.20020772349344,11.979866694152408,53.218,46.746,6,45.320271440329215,36.28535012345679,17.521316872427985,35.592,29.49,10,6075,37597,14553
BY,Belarus,2021,2,mobile,2021-04-01,17.46489264394681,9.139000694861187,33.0319320299422,13.008,7.09,28,15.289191667749902,7.283905498505135,35.83179513843754,9.471,3.666,30,15386,62583,31661
BY,Belarus,2021,3,fixed,2021-07-01,50.37035235541096,42.54831911806731,11.851333230748939,49.743,44.782,6,33.76606696461825,26.7614156424581,21.316350093109868,24.206,18.113,14,13425,126721,45491
BY,Belarus,2021,3,mobile,2021-07-01,18.780759824029488,9.631107514416502,34.060103442125914,13.825,7.779,28,15.47197798821021,7.405560893013922,37.465257744889,9.207,3.6635,30,15946,65802,33642
BY,Belarus,2021,4,fixed,2021-10-01,65.2350825880222,51.74735571153628,10.85678704856787,61.234,51.754,6,51.79006358556109,40.41494049237275,16.210995317927807,42.068,35.041,8,6621,51570,17666
BY,Belarus,2021,4,mobile,2021-10-01,19.978207157697206,10.705651900006702,31.560284163259833,14.637,9.25,28,18.219256101281267,8.89053836180598,33.911302623550945,11.4085,4.6335,29,13112,62933,29842
BY,Belarus,2022,1,fixed,2022-01-01,58.45624416612013,47.93083538197897,10.498952757737957,56.352,48.428,5,42.05634015672477,32.95834887254118,19.25051975051975,32.4715,27.215,10,12506,148919,47267
BY,Belarus,2022,1,mobile,2022-01-01,19.412553610170136,11.38597967495147,32.104175389182814,14.196,10.006,28,17.94416154145582,9.556722148695991,33.95733748540288,11.263,5.374,29,12845,52290,26273
BY,Belarus,2022,2,fixed,2022-04-01,57.45817610497238,47.867724805606706,11.380755064456721,55.26,49.106,5,40.314419900083266,32.275900416319736,20.184013322231475,29.923,25.101,10,12010,113131,39096
BY,Belarus,2022,2,mobile,2022-04-01,19.54993366986727,11.481122846653488,34.47112397627789,14.409,9.868,29,16.937458291312492,9.303284180953753,36.983431782163954,9.855,4.564500000000001,30,13882,63402,28328
BY,Belarus,2022,3,fixed,2022-07-01,56.95912398359184,47.36378336852836,11.847059394645502,54.509,48.064,6,39.43362336543732,31.861686946989273,21.476783337248452,28.791,24.245,11,12771,120726,41199
BY,Belarus,2022,3,mobile,2022-07-01,20.471661654405167,11.741526753992463,35.7873317782164,14.846,10.037,30,17.055669278320874,9.320993674525589,38.896995399654976,9.601,4.461,31,13912,59315,27865
BY,Belarus,2022,4,fixed,2022-10-01,62.307469448079786,50.4552175188411,10.222618349203485,60.624,51.125,5,45.35717178116002,36.005675771287535,18.175483340189224,35.459,30.867,9,12155,137784,44318
BY,Belarus,2022,4,mobile,2022-10-01,20.93291044344937,12.421282067022966,34.530947566084066,15.581,11.32,29,18.665200813421453,10.307654126419251,36.61057447890188,11.287,6.3355,30,11802,60894,27692
BY,Belarus,2023,1,fixed,2023-01-01,65.9880206269055,52.60145610232469,10.405964176829269,63.062,52.187,5,49.34067281488867,38.50151354270522,18.477068793619143,36.533,32.2885,9,12036,126197,41984
BY,Belarus,2023,1,mobile,2023-01-01,22.525945873889125,12.86940165044435,36.67884045704613,16.465,11.356,31,20.084579352564695,10.692410815323253,38.60690102958909,11.627,6.572,31,10781,68292,23630
BY,Belarus,2023,2,fixed,2023-04-01,67.75510362025464,53.77029199671419,11.831807780320366,62.094,51.827,6,49.02639126712329,38.27523707191781,19.989212328767124,33.9425,28.384,10,11680,92773,34086
BY,Belarus,2023,2,mobile,2023-04-01,23.89019837228715,12.628237938230384,37.256761268781304,16.165,10.567,31,19.990151519961902,10.148420430192873,39.396618779268195,10.347,4.908,31,12599,68382,23960
BY,Belarus,2023,3,fixed,2023-07-01,68.7794378508011,54.11526094499439,12.505281151137872,63.614,53.435,6,48.63331529864555,37.644469469321294,21.088446451039893,32.258,26.719,10,13511,107161,39196
BY,Belarus,2023,3,mobile,2023-07-01,26.056809828427745,12.78059003845585,36.510390474781836,17.457,10.769,30,19.812229592576482,9.745210163839351,39.9055386399884,9.356,4.3605,31,13794,71639,27044
BY,Belarus,2023,4,fixed,2023-10-01,80.23204679813678,63.181535065952716,10.55874798659179,76.153,61.157,5,59.279182305231046,46.369356425329265,18.089143537465585,40.714,35.281,9,13439,136402,45942
BY,Belarus,2023,4,mobile,2023-10-01,25.903880410122163,13.280783071553229,35.31993891797557,17.784,11.79,29,21.85486385722295,10.861445991403476,37.36068024668286,11.4275,6.4795,30,10702,62797,22920
BY,Belarus,2024,1,fixed,2024-01-01,84.01007907474835,65.10684799742985,10.380488327264938,79.296,62.337,6,62.40577086863626,47.82458461651809,18.34789655934576,41.273,35.837,9,13573,142161,46690
BY,Belarus,2024,1,mobile,2024-01-01,25.18037143833568,13.126886069460465,34.48506984493144,16.899,11.498,29,21.12292050321199,10.738233672376873,36.32655246252676,11.497499999999999,6.523,30,11208,64224,23409
BY,Belarus,2024,2,fixed,2024-04-01,85.72885566057357,64.46917269428974,12.01056085780972,81.255,62.307,6,62.00782274270197,46.04602145281738,20.27603530210455,36.407,29.091,11,14730,121917,43273
BY,Belarus,2024,2,mobile,2024-04-01,26.30477717824292,12.387279314840299,35.183421452886215,16.998,10.384,29,20.17165552662037,9.754192925347223,38.37217881944444,9.482,4.85,30,13824,75549,27614
BY,Belarus,2024,3,fixed,2024-07-01,89.35670559502664,66.81007007104796,12.437322380106572,83.646,64.715,5,66.04506523283601,48.75715429826261,21.221985403345606,37.626,30.722,10,15483,133939,45040
BY,Belarus,2024,3,mobile,2024-07-01,28.002193156769206,12.881620628392827,35.85984536930416,18.598,11.016,29,21.276049883604923,10.021021350182906,39.18323910874626,9.214,4.798,30,15035,63926,30395
BY,Belarus,2024,4,fixed,2024-10-01,103.37818236650702,76.6636803461258,10.279719314844382,98.95,73.313,5,79.73533551167965,58.73057675194661,17.953629032258064,53.2295,44.357,8,14384,154323,50733
BY,Belarus,2024,4,mobile,2024-10-01,28.926005456543926,13.613133979744052,33.55915835754102,20.614,12.131,28,24.322386286201024,11.297073339011925,35.68296422487223,12.3595,6.8705,29,11740,52135,25474
BY,Belarus,2025,1,fixed,2025-01-01,105.11362813612979,78.25218727740403,10.344934705184013,99.814,75.575,5,82.83681139369278,60.32876473380807,18.39192946761614,54.976,46.053,9,14745,157620,50540
BY,Belarus,2025,1,mobile,2025-01-01,30.742130938959576,14.571867128362054,33.633153486873894,21.389,12.645,29,26.517361613813716,12.208992279594886,35.78814544247053,13.673,7.8740000000000006,29,12046,52373,24836
BY,Belarus,2025,2,fixed,2025-04-01,106.9620136774547,77.16271234297344,11.432238876061518,102.407,75.445,5,79.76985972408741,56.61961030399219,19.889818093028936,47.825500000000005,39.646,10,16382,155701,51106
BY,Belarus,2025,2,mobile,2025-04-01,31.334529806765012,13.998852805657748,34.67114333678609,21.073,11.611,28,25.720369237130452,11.373369926262836,37.299841499552066,11.993,6.283,29,14511,59640,27997
