country_code,country_name,year,quarter,network_type,date,download_mbps_weighted_mean,upload_mbps_weighted_mean,latency_ms_weighted_mean,download_mbps_weighted_median,upload_mbps_weighted_median,latency_ms_weighted_median,download_mbps_mean,upload_mbps_mean,latency_ms_mean,download_mbps_median,upload_mbps_median,latency_ms_median,tile_count,total_tests,total_devices
GE,Georgia,2019,1,fixed,2019-01-01,19.407602085082566,19.02727008116429,25.655681500139938,19.684,19.261,8,15.502814750434567,14.66583536131115,46.33474050161411,14.749,13.347,14,4027,37823,14292
GE,Georgia,2019,1,mobile,2019-01-01,25.733869149952245,12.691019579751671,48.08595988538682,22.282,11.274,27,23.776065235342692,11.512231213872832,52.5177539223782,16.839,8.786,29,1211,3390,2094
GE,Georgia,2019,2,fixed,2019-04-01,21.661180425715518,21.029174528980295,21.727383863080686,21.432,20.787,8,18.01827203166227,17.071574142480213,39.52427440633245,17.240499999999997,16.158,11,3790,34491,13906
GE,Georgia,2019,2,mobile,2019-04-01,29.084183930681373,13.56666994879874,46.16620716817645,25.538,12.535,26,25.374209811320753,11.588025660377358,52.36301886792453,19.713,8.649,28,1325,4142,2539
GE,Georgia,2019,3,fixed,2019-07-01,22.796177204438074,22.429012369273238,27.8944099378882,22.855,22.114,8,18.607033798056612,17.94703253062949,45.1191381495564,17.459000000000003,16.435000000000002,13,4734,39664,18837
GE,Georgia,2019,3,mobile,2019-07-01,26.743210382513663,13.343530282331512,57.74954462659381,23.892,12.422,30,22.95992604961832,10.983239026717557,63.25095419847328,17.493499999999997,7.96,31,2096,7260,4392
GE,Georgia,2019,4,fixed,2019-10-01,21.75919390376445,22.57528090109673,16.978905246517144,21.473,22.41,6,17.772344726357726,18.13364688613965,32.146571608303624,17.631,18.24,9,4769,49955,20242
GE,Georgia,2019,4,mobile,2019-10-01,29.1209068801898,14.61247212336892,41.98784104389087,26.401,13.419,24,25.99513110698825,12.338667285095857,48.191094619666046,20.71,9.812,25,1617,5337,3372
GE,Georgia,2020,1,fixed,2020-01-01,22.198082043343653,23.158374183006536,15.2125042999656,22.277,23.224,6,18.68608350856113,19.110589065785522,31.238510063082007,17.924,18.94,7,3329,32266,11628
GE,Georgia,2020,1,mobile,2020-01-01,27.498902178847025,13.156002269632319,29.7703132092601,25.559,12.188,22,24.922817445185892,11.01932459485224,33.66491897044805,20.322499999999998,8.136,24,2098,7562,4406
GE,Georgia,2020,2,fixed,2020-04-01,23.559068153266335,24.566821398659965,14.573283082077053,23.978,24.865,5,19.037484874429225,19.66417294520548,26.466324200913242,17.808,18.8685,8,3504,31259,9552
GE,Georgia,2020,2,mobile,2020-04-01,27.26164731896075,12.635388336097291,29.37258153676064,24.071,11.105,22,24.829660256410257,10.83029075091575,32.62637362637363,19.4755,7.084,23,2184,7085,3618
GE,Georgia,2020,3,fixed,2020-07-01,25.894876491016156,26.80994247319946,12.660727766873018,24.757,25.484,5,21.84073963782696,22.488620523138835,19.63138832997988,19.266,19.871,7,2485,16498,6623
GE,Georgia,2020,3,mobile,2020-07-01,32.09802448123106,15.018459547680113,27.791326649568663,26.734,13.542,21,27.185768187422934,12.444347307850391,29.97698314837649,21.479,8.357,21,2433,7880,4289
GE,Georgia,2020,4,fixed,2020-10-01,25.684114513734222,26.55817743132888,10.82293986636971,24.575,25.813,5,22.60682503556188,23.034440493124702,17.74348032242769,19.271,19.585,6,2109,14713,5388
GE,Georgia,2020,4,mobile,2020-10-01,34.59336679738562,15.448292810457517,25.434248366013072,30.594,14.234,20,31.847227987421384,13.111865828092244,27.079140461215932,25.802,9.407499999999999,20,1908,7127,3825
GE,Georgia,2021,1,fixed,2021-01-01,25.743241219963032,26.54074245224892,11.440234134319162,24.833,25.224,6,22.618222652885443,23.19742980189492,17.94659776055125,19.4265,19.752499999999998,7,2322,19349,6492
GE,Georgia,2021,1,mobile,2021-01-01,34.970809095452275,14.38354647676162,25.473013493253372,31.488,13.279,19,31.943270843373494,12.469633253012049,27.3744578313253,25.323,8.762,20,2075,7050,4002
GE,Georgia,2021,2,fixed,2021-04-01,27.285453680380634,26.72909459837671,10.564371676462356,24.973,24.963,6,24.364883665338645,23.458940239043823,16.467330677290835,19.8105,19.511499999999998,7,2510,18968,7146
GE,Georgia,2021,2,mobile,2021-04-01,36.79012473734479,14.604210315186245,26.653868194842406,33.299,13.394,20,33.74951620195931,12.245486435568953,27.9698568198945,25.9165,8.585,21,2654,10323,5235
GE,Georgia,2021,3,fixed,2021-07-01,24.76520400759098,25.150640935476666,11.837686983701719,23.254,24.113,6,20.054324901185772,20.090007312252965,18.73913043478261,18.3885,19.098,7,5060,42450,17916
GE,Georgia,2021,3,mobile,2021-07-01,36.798379501800724,14.798510804321728,29.86329531812725,33.513,13.228,21,31.787231995096537,12.127482684646031,31.564817652467056,24.048,8.209,21,3263,11984,6664
GE,Georgia,2021,4,fixed,2021-10-01,28.129268763716166,27.574531821506948,10.414630577907827,26.527,25.581,5,25.434793774319065,24.47500340466926,17.434824902723737,20.167,20.002,7,2056,17719,6835
